Est,Class,Study species,r_phen,r_gen,r_resid,h2_1,h2_2
27,Mammalia,Canis familiaris,0.03,0.31,-0.034450803,0.148,0.235
26,Mammalia,Canis familiaris,0.04,0.4,-0.00846139,0.095,0.148
28,Mammalia,Canis familiaris,0.07,0.37,-0.005025067,0.148,0.27
24,Mammalia,Canis familiaris,0.1,0.29,0.058045713,0.224,0.148
23,Mammalia,Canis familiaris,0.22,0.57,0.115801225,0.224,0.235
25,Mammalia,Canis familiaris,0.19,0.54,0.131379376,0.095,0.235
22,Mammalia,Canis familiaris,0.24,0.74,0.157575044,0.224,0.095
34,Branchiopoda,Daphnia galeata,0.24,0.43,0.166111111,0.28,0.28
33,Branchiopoda,Daphnia galeata,0.31,0.4,0.277840107,0.28,0.25
37,Branchiopoda,Daphnia galeata,0.39,0.39,0.390306729,0.25,0.28
36,Branchiopoda,Daphnia galeata,0.48,0.75,0.430310369,0.12,0.28
35,Branchiopoda,Daphnia galeata,0.48,0.53,0.477842777,0.12,0.25
32,Branchiopoda,Daphnia galeata,0.53,0.47,0.557604499,0.28,0.12
40,Branchiopoda,Daphnia hybrid,0.15,0.23,0.147634556,0.024,0.038
39,Branchiopoda,Daphnia hybrid,0.17,0.43,0.163216188,0.024,0.027
43,Branchiopoda,Daphnia hybrid,0.32,0.48,0.314862976,0.027,0.038
42,Branchiopoda,Daphnia hybrid,0.49,0.61,0.485259875,0.038,0.038
41,Branchiopoda,Daphnia hybrid,0.53,0.07,0.545494927,0.038,0.027
38,Branchiopoda,Daphnia hybrid,0.59,0.53,0.592372888,0.024,0.038
19,Insecta,Drosophila melanogaster,-0.03,-0.81,0.192312062,0.46,0.09
58,Aves,Gallus gallus domesticus,-0.85,-0.99,-0.796851467,0.27,0.45
68,Aves,Gallus gallus domesticus,-0.78,-0.89,-0.723303709,0.38,0.32
57,Aves,Gallus gallus domesticus,-0.76,-0.96,-0.672607103,0.27,0.38
52,Aves,Gallus gallus domesticus,-0.74,-0.87,-0.672440642,0.38,0.32
80,Aves,Gallus gallus domesticus,-0.79,-0.94,-0.658204998,0.45,0.49
75,Aves,Gallus gallus domesticus,-0.73,-0.88,-0.65504737,0.35,0.32
81,Aves,Gallus gallus domesticus,-0.7,-0.85,-0.617192951,0.45,0.32
51,Aves,Gallus gallus domesticus,-0.73,-0.92,-0.592213917,0.38,0.49
74,Aves,Gallus gallus domesticus,-0.72,-0.92,-0.588794369,0.35,0.49
82,Aves,Gallus gallus domesticus,-0.6,-0.87,-0.498122743,0.45,0.22
67,Aves,Gallus gallus domesticus,-0.59,-0.75,-0.473697998,0.38,0.49
76,Aves,Gallus gallus domesticus,-0.58,-0.89,-0.467719986,0.35,0.22
53,Aves,Gallus gallus domesticus,-0.58,-0.9,-0.459837201,0.38,0.22
69,Aves,Gallus gallus domesticus,-0.49,-0.72,-0.405257586,0.38,0.22
79,Aves,Gallus gallus domesticus,-0.27,-0.69,-0.163322346,0.35,0.13
85,Aves,Gallus gallus domesticus,-0.27,-0.65,-0.163047492,0.45,0.13
56,Aves,Gallus gallus domesticus,-0.26,-0.66,-0.154277941,0.38,0.13
72,Aves,Gallus gallus domesticus,-0.2,-0.59,-0.09376679,0.38,0.13
77,Aves,Gallus gallus domesticus,-0.17,-0.52,-0.083870343,0.35,0.12
54,Aves,Gallus gallus domesticus,-0.17,-0.53,-0.076928409,0.38,0.12
83,Aves,Gallus gallus domesticus,-0.18,-0.56,-0.071679865,0.45,0.12
84,Aves,Gallus gallus domesticus,-0.12,-0.37,-0.070005429,0.45,0.08
55,Aves,Gallus gallus domesticus,-0.11,-0.33,-0.069463955,0.38,0.08
78,Aves,Gallus gallus domesticus,-0.1,-0.29,-0.066563316,0.35,0.08
